refcode,formula,z_prime,r_factor,n_atoms,spacegroup
ZEWCUB,C24 H24 O4,1.0,5.16,52,C2/c
ZOGJAJ,C15 H20 O2,1.0,3.7199999999999998,37,P212121
FOGTUR,C13 H17 N3 O9,1.0,4.05,42,P212121
AVUNUB,C35 H24 O2,0.5,4.46,61,P22121
FABSAC10,C23 H19 F3 O1,1.0,6.1000000000000005,46,P21
WOTKUN,C13 H13 Cl3 O2 S1,1.0,3.8899999999999997,32,P21/c
IVOHEH,C15 H14 Cl3 N5,1.0,2.86,37,P21/c
BZAMID07,C7 H7 N1 O1,1.0,5.33,16,P21/c
RIHDAO01,C11 H11 N1 O1,2.0,5.59,24,C2/c
BUQWUJ,C20 H21 F2 N1 O3,1.0,3.74,47,P21/c
XEGTAE,C22 H30 O5,1.0,3.9,57,P212121
SUPNEA,"C20 H14 N2 O1,2(H2 O1)",1.0,6.04,37,Pbca
QEMTEL,C16 H18 N2,1.0,3.52,36,P21/n
NAHDAD,C17 H18 N2 O2,1.0,5.42,39,P21/c
TUYGOM,C23 H19 N5 O2,1.0,5.18,49,Pbca
KOHLAW,C36 H22 N2,0.5,4.17,60,C2/c
TUWLIG,C17 H14 N2 O1,1.0,3.41,34,P21
SISROD,C7 H12 F9 N2 P1,2.0,4.19,31,P21/n
ASIHIV05,"C6 H8 N1 1+,C6 Cl4 O2 1-",0.5,1.29,15,Pbnm
SICBOY,C15 H15 N1 O3,1.0,5.949999999999999,34,P21/c
ORUWAB,C23 H24 N2 S1,1.0,4.97,50,P21/n
ZAPTIV,"C15 H17 N1 O4,H2 O1",2.0,5.39,37,P21/c
TINPAL,C17 H14 F3 N1 O2 S1,1.0,5.779999999999999,38,P21/c
SEPXAO,C13 H11 Br1 F1 N1 O2,1.0,3.2399999999999998,29,P21/c
YUMPIG,C4 H2 N4 O4,0.5,3.36,14,P21/n
ISELAX,C23 H18 Br1 I1 N2 O3 S1,1.0,3.04,49,P-1
MEGKAK,C25 H28 N2 O4,1.0,5.58,59,P-1
TULVUR,C10 H11 N1 O2 S1,2.0,4.9,25,P-1
AHEQIP,C8 H10 O8,0.5,3.2800000000000002,26,P21/c
PUXZIU,C22 H21 I1 N2 O7,1.0,3.52,53,P212121
IWAJOH03,"C7 H10 N1 1+,H1 O4 S1 1-",1.0,5.86,18,P21/c
QITCUV,C12 H16 Li2 O9,0.5,3.83,39,Pbcn
YUDMEP,C24 H25 Br1 O1 Si1,1.0,5.1000000000000005,52,Pbca
EBIQUC,C14 H18 Cl2 O6,2.0,5.5600000000000005,40,P21/a
HOFQAY,C23 H16 O2,1.0,6.81,41,P212121
JAKTAQ,C10 H10 N2 O1,1.0,4.5,23,P21/c
LIMGIY,"C17 H26 N1 O2 1+,C6 H2 N3 O7 1-",1.0,4.83,46,P212121
FENTUR,"C23 H19 Cl2 N3 O2,C1 H4 O1",1.0,3.6700000000000004,49,P21/c
SUGRAQ,C17 H14 Br1 N1 O1 S2,1.0,1.96,36,P212121
JOCVUT,C11 H10 F3 N1 O2,1.0,3.4,27,C2/c
KEYLOR,"C10 H18 B1 N4 S2 1+,I1 1-",1.0,2.1,35,P21
UPIQAO,"C6 H2 F5 O3 P1,C6 H1 F5 O3 P1 1-,C2 H8 N1 1+",1.0,3.55,17,P-1
AMOWIL,"C8 H10 Br1 N1 O1 S1,2(H2 O1)",1.0,5.17,22,P21/c
NIVCAY,"C26 H28 N1 O4 1+,Br1 1-",1.0,3.2199999999999998,59,P-1
XODDUP,C18 H15 F1 N4 O1,2.0,6.22,39,Pna21
MEOHPH,C15 H17 O3 P1,2.0,4.3,36,P-1
MOSNOY01,C14 H16 O3,1.0,4.02,33,C2/c
LEPYIP,C15 H10 Br1 Cl1 O1,1.0,4.6000000000000005,28,P21/c
MIHYIL,"3(C2 H8 N1 1+),As2 Cl9 3-",1.33,6.48,11,R3c
FUDVUX,C19 H15 N1 O2,1.0,4.15,37,P21/c
ZIWMOJ,C19 H14 O3,1.0,3.5700000000000003,36,P21/c
MEHYAD,C11 H11 N1 O1,1.0,5.779999999999999,24,P21/c
BOXCOG,C13 H15 O1 P1,1.0,3.4,30,Pbca
MOXNAR,"C6 H7 N3 O1,C3 H3 N3 O3",1.0,3.64,17,Pc
IDOLUM,C31 H27 N1 O3 S1,1.0,5.92,63,P21/c
NNAPAN10,C12 H4 N2 O7,1.0,5.4,25,P21/c
DIYKEB,C15 H20 O4,1.0,4.7,39,P21
MODKUO,C18 H16 Br2 F1 N1 O3 S1,1.0,4.79,42,P-1
FONHAS,C24 H24 N4 O3,1.0,4.88,55,P21/n
WOKHIP,C26 H24 O7,1.0,3.9600000000000004,57,P21
APENOA,"C7 H5 N13 O1,4(H2 O1)",1.0,3.9800000000000004,26,P-1
ERUGUU,C18 H18 O2 S1,1.0,5.8100000000000005,39,P21/c
WUQJAX,C17 H15 N1 O2 S1,2.0,2.3,36,P212121
OCAYEZ,C18 H16 O1 S1,1.0,4.590000000000001,36,P21/c
GAMPUI,C18 H15 N3 O1 S1,1.0,2.87,38,P21/c
JOPTUF,"C18 H19 N2 1+,I1 1-",1.0,2.4299999999999997,39,P212121
XIGGIF,C24 H19 N1 O4 S1,1.0,4.12,49,P21/n
VAHPIF,"C26 H22 N2 O8 S2 2-,2(C24 H20 P1 1+),4(H2 O1)",0.5,7.28,60,P21/c
YOVDAP,C8 H6 F1 N3 S1,1.0,4.71,19,P21/c
SAFXUU,C24 H29 N3 O2,1.0,4.82,58,Pbca
YUYMAG,C11 H10 O5,1.0,4.61,26,P212121
IGOPUS,C14 H14 O2 S4,0.5,2.06,34,P-1
PABNAL,C17 H13 N1 O1,1.0,5.93,32,P-1
