refcode,formula,z_prime,r_factor,n_atoms,spacegroup
NAXHAZ,C16 H11 F4 N1 S1,1.0,3.6900000000000004,33,P21/c
UPIBEE,C14 H11 N1 O4,1.0,6.64,30,P21/c
CAXNUL,C10 H4 F4,1.0,3.88,18,P21/n
TYRTHM,"C7 H7 N2 O4 1-,C8 H12 N1 O1 1+,H2 O1",1.0,7.0,22,C2/c
PEHPEX,C15 H19 N1 O3,1.0,4.2,38,P21/a
PELGUL01,C19 H20 O6,1.0,3.4000000000000004,45,P212121
TASRUA,C17 H19 N1 O3,1.0,3.5300000000000002,40,P212121
DESJET,C15 H14 N3,1.0,6.260000000000001,32,P-1
COYMIM,C15 H19 N1 O7 S1,1.0,3.3000000000000003,43,P21/c
REFWOQ,"C17 H20 N3 1+,I1 1-",1.0,2.57,40,Pna21
WUKSEB,C22 H23 N1 O2,1.0,3.96,48,P212121
CUKCAM04,C7 H4 N2 O6,1.0,3.8000000000000003,19,P21/c
RIHFIZ,C20 H17 N1 O1 S1,1.0,7.359999999999999,40,P21/c
NAZDOJ,C16 H11 Br1 N2 O1,1.0,4.04,31,P21/c
LAPQAW,C10 H10 N4 O1 S1,1.0,4.14,26,P21/c
QAQJIB,C18 H26 O1 S3,1.0,4.65,48,P-1
YOWTEJ,C20 H26 O2,2.0,6.8,48,P1
TIVGUC,C30 H20 O1,1.0,5.43,51,Pbca
AHUMOG,C28 H23 N1 O4,1.0,3.44,56,P212121
DINNIA,C19 H23 N1 O3 S1,1.0,7.249999999999999,47,P21/n
VIYGOC,C17 H17 N1 O3,2.0,5.6899999999999995,38,P-1
KAMPIA03,C17 H15 Br1 N2,1.0,3.6799999999999997,35,P21/c
FIFHAF,C20 H16 N4 S5,0.5,2.58,45,C2/c
SUZXIV,C15 H20 O5,1.0,3.25,40,P21
MELLAU,C18 H18 F3 N3 O5 S1,2.0,2.93,48,P1
DUKKOM,"C9 H12 N1 O5 P1,2(H2 O1)",2.0,6.88,28,P-1
RUSGOE,"C21 H30 O5,C1 H4 O1",1.0,3.01,56,P212121
DORJEC,"C22 H19 N5 O1,0.5(C4 H8 O2),H2 O1",1.0,3.7800000000000002,47,P-1
SAXBAW,C24 H32 N2 O6,1.0,3.08,64,P212121
TAZQAM,"C12 H13 N1 O4,H1 Br1",1.0,6.1000000000000005,30,P212121
EWATUS,"C22 H16 N4 O3,C4 H8 O2",1.0,4.39,45,P21
WAHKUM,C22 H26 S1,0.5,6.5600000000000005,49,Pbcn
IKOFEX,"C12 H10 N1 S2 1+,B1 F4 1-",1.0,7.340000000000001,25,P21/c
NUPJEN,C24 H22 N2 O4 S2,1.0,4.36,54,P-1
PEVPAL,C13 H13 N1 O2,1.0,5.4399999999999995,29,P21/c
ZUFRAT,C8 H6 I2 S4,1.0,3.6,20,P21/n
TIDLAX,C23 H31 Cl1 O5 S1,1.0,2.4899999999999998,61,P212121
NIJLIF,C5 H8 Br1 N3 O9,2.0,3.36,26,P212121
WOGSOE,C24 H24 O6,1.0,3.63,54,P212121
GEMHAL,C11 H21 B10 N3 S1,1.0,3.9600000000000004,46,P-1
PIWBAZ,C26 H21 N1 O2 S1,1.0,4.19,51,P-1
WOMKUE,C12 H14 N2 O2,1.0,3.41,30,P21/c
MUKXOI,"C8 H13 N3 O4 S1,C7 H6 O3",1.0,3.32,29,P21/c
ETOKUT,C10 H8 Br1 N3 O2,1.0,3.99,24,P212121
SIDGUJ,"C13 H11 N2 1+,C1 H4 O1,Br1 1-",1.0,4.97,26,P-1
YAFXOU,C21 H18 N2 O2,1.0,3.5500000000000003,43,P21/c
XALBAN,C13 H10 N4 O1,1.0,3.74,28,P21/c
ZUSXEQ,C14 H16 N2 O2 S2,2.0,4.5,36,P21
BATCOO,C4 H18 B2 N2,1.0,4.62,26,P21/n
MUTGOZ,C10 H8 O3 S1,1.0,2.27,22,P212121
UZEPUN,C21 H26 O6,1.0,3.46,53,P-1
CUDCUA,"C6 H7 N2 S1 1+,I1 1-",1.0,1.94,16,P-1
GOTQOZ,"C28 H16 Cl4 N2 O2,0.55(C2 H4)",0.5,7.430000000000001,52,P-1
DTHCTD10,C4 O4 S10,0.5,6.5,18,P21/n
LODTIJ,"C8 H16 N2 S1 2+,2(I1 1-)",1.0,2.1999999999999997,27,Pca21
MEKQUS,"C16 H8 N6,C2 H3 N1",1.0,4.3999999999999995,30,P-1
SOTDUA,"C21 H19 N4 O4 1-,C6 H16 N1 1+",1.0,7.3,48,P21/n
ZIYVUC,"C21 H30 O2,C7 H5 N1 O6",1.0,4.08,53,P21
BAXKUK,C21 H23 N1 O3,2.0,5.8500000000000005,48,P21/n
NOHMAA,C15 H19 N1 O8 S1,1.0,3.9,44,Pbca
AFAWIO,C29 H26 N4 O2 S1,1.0,4.89,62,P-1
CUJXUA,C18 H28 O1,1.0,3.4,47,P212121
DATCOS,"C7 H14 Cl1 N2 1+,C6 F4 I2,Cl1 1-",2.0,2.49,24,P-1
RUBLOT,C17 H16 O5,1.0,4.53,38,P21
YUFRAW,C21 H23 N1 O4 S1,1.0,7.359999999999999,50,P21/n
SOSWOO,C10 H7 N1 O5,2.0,3.32,23,P-1
COVWIT,C20 H27 N3 O4,1.0,3.4,54,Pbca
JIQFAT,"C8 H16 N1 O2 1+,C7 H5 O3 1-",1.0,4.2700000000000005,27,P21/n
BUHMOJ,C13 H16 N2 O1 S1,1.0,6.2700000000000005,33,Pna21
UWELEO,"C12 H28 N2 O3 P1 1+,Cl1 1-",1.0,3.49,46,P21/c
UTEWOH,C8 H8 F2 N2 O4,1.0,6.84,24,P-1
HACMOQ,"C7 H14 N3 1+,N1 O3 1-",1.0,3.51,24,P212121
HIHLUI,C27 H28 N2 O5,1.0,5.1,62,P21/c
RIZSEB,C27 H26 Cl1 N1 O3 S1,1.0,4.88,59,P21/c
XINFAB,C8 H18 O4,0.5,3.95,30,C2/c
MUMSAP,C18 H25 N1 O3 Si1,1.0,3.37,48,P21/a
BINWEE,C25 H18 Br1 N1 O1,1.0,3.9,46,P21/n
PENXAL,C23 H18 N2 O2,1.0,3.4099999999999997,45,P-1
VETHOS,C14 H10 Cl1 N3 O3 S1,1.0,4.0,32,P-1
NUNPIV,C22 H20 O6,1.0,4.0,48,P21/n
JUKVUG,C15 H28 N1 O7,1.0,4.0,51,P21
WOHGOR,C28 H22 N2,1.0,7.37,52,P21/c
SLFNMA07,C11 H12 N4 O2 S1,2.0,5.37,30,P21/c
JUHJOL,C22 H34 P2,2.0,4.63,58,P21/n
FUGGOD,C15 H14 O5,1.0,5.6000000000000005,34,P-1
BEFYAQ,C20 H15 N1 O4 S2,1.0,4.43,42,P21/c
OWISOF01,C14 H12 N4 O2,1.0,6.8500000000000005,32,P21/n
UBOYOD,C23 H15 F1 N2,2.0,4.03,41,P21
OJIGOD02,"C17 H38 N1 1+,Br1 1-",1.0,5.390000000000001,56,P21/c
IFAJIJ,C19 H18 O6,1.0,4.13,43,P212121
WADLOE,C14 H10 Cl1 N1 O3,1.0,4.33,29,P21/c
TAQBUJ,C16 H14 Cl1 N3,1.0,5.58,34,P21/c
EVUFIL02,"C6 H2 Cl2 O4,C6 Cl2 O4 2-,2(K1 1+)",0.5,4.76,14,P-1
XITBIO,C14 H15 N3 O4,1.0,5.19,36,P21/c
VAMDOC,C12 H32 N6 P2 S2,0.5,3.8000000000000003,54,P21/c
IKOGOI,C20 H15 N1 O2 S2,2.0,4.67,40,P-1
VUSVIR,C26 H16 N4,0.5,6.25,46,Pbnb
VUQSAE,C5 H7 N1 O3,1.0,3.2,16,P21/c
COBQEP,C19 H28 O3,2.0,3.9,50,P1
WEPDOO,C12 H18 N6,1.0,3.63,36,P212121
BUJVOS,C21 H17 N1 O2 S1,1.0,3.8200000000000003,42,P21/n
NAMZAG,C19 H15 F1 O2 S1,1.0,2.41,38,P32
OQOGIN,"C15 H10 O5,C12 H10 N2",2.0,4.73,30,P21/c
FOQQUZ,C21 H28 O4 Si1,1.0,3.63,54,P21/c
GURNUG,C15 H11 Br1,1.0,4.36,27,P21/c
GUYJUI,"C12 H10 I1 1+,C1 N1 S1 1-",1.0,2.87,23,P21/n
NAPPIH,"C18 H26 B1 Si1 1-,0.5(C4 H8 O2),K1 1+",1.0,7.42,46,P21/n
MAZSEN,C12 H15 N1 O2,2.0,3.58,30,P21
FUTJEM,C12 H11 Br1 N4 O1 S1,2.0,3.44,30,P-1
FUHKAY,C20 H24 N2 O2,2.0,5.56,48,P1
SESBIF,C20 H19 N3 O1,1.0,3.63,43,Pn
IGUFEX,C18 H18 N4 O2 S1,1.0,3.56,43,P21
HITZIX,C25 H13 F6 I2 N1,1.0,4.130000000000001,47,P21/n
DIHSEW,"C28 H24 N3 O6 S2 1-,C6 H16 N1 1+",2.0,3.95,63,P21
PILKUU,C20 H28 O5,1.0,4.390000000000001,53,P21
RUWPUX,"C18 H15 P1 S1,C6 F3 I3",2.0,3.83,35,P21/n
TOWHEW,"C7 H9 N1 O1,C8 H5 N1 O2",1.0,4.279999999999999,18,P21/c
NUXREG,"C19 H14 I1 1+,C1 F3 O3 S1 1-",2.0,2.6599999999999997,34,P212121
GUDHAS,C10 H12 Cl1 N1 O3 S1,1.0,4.63,28,P21/c
WIBMEA,C23 H16 N4 O1,1.0,5.1000000000000005,44,P21/a
YISCIM,C14 H19 N2 O3,1.0,4.9,38,P21
PUYWOZ,"C15 H10 O6,C6 H5 N1 O2",1.0,2.8899999999999997,31,Pca21
VUTVEP01,C16 H20 Cl3 Na1 O7,1.0,3.95,47,P21/n
WAFFUG,"C8 H7 N1 O4 S1,C10 H8 N2",1.0,3.75,21,P21/c
DINGUF,C12 H8 I1 N1 O1,1.0,2.4299999999999997,23,P21/c
WESXIC,C29 H26 F6 S2,1.0,4.96,63,P21/c
YIRJOZ,C10 H11 N1 O4 S1,1.0,4.8,27,P-1
ZEVKAM,C16 H20 N2 O3 S1,1.0,2.9,42,P61
NOCPIE01,C7 H10 O3,2.0,3.0300000000000002,20,P21
LAPZAF,C15 H14 Cl1 N1 O1,1.0,4.83,32,P21/c
NEQZEQ,C24 H26 N2 O2,0.5,4.12,54,P21/c
UXAXEX,"C10 H11 I1 O4,C2 H1 F3 O2",2.0,2.87,26,P-1
YUJQAX,C20 H8 N4 O2 S1,2.0,3.9699999999999998,35,P-1
ZONXUV01,C32 H22 Se4,1.0,5.5,58,P-1
RELNEF,C14 H16,1.0,4.41,30,P21/c
QIMDEV,C14 H11 N1 O4,1.0,5.4,30,P21/c
MAZWOA,C15 H15 N3 O5,1.0,4.78,38,P21/c
XIVQUR,C15 H21 N1 O5,1.0,3.18,42,P212121
NUSCOW,"C13 H16 F3 O2 S1 1+,C1 F3 O3 S1 1-",1.0,5.1,35,Pca21
MICKAO,C18 H11 N1 O3,1.0,4.62,33,P-1
EWAGES,C8 H7 B1 F2 O2,1.0,3.93,20,P-1
MATBIT,C7 H9 N1 O1,1.0,3.5300000000000002,18,P21/n
XISYUW,"C24 H26,C10 H2 N4",0.25,4.6,50,I2/m
FEJLUC,C24 H24 N2 O4 S1,1.0,4.22,55,P21/c
CUWHAF,C17 H17 N1 O1,0.5,3.9,36,Pnma
AWIPAX01,"C14 H22 B11 1-,C8 H20 N1 1+",1.0,5.92,47,Pna21
SEBPEU01,"C10 H13 N2 1+,Cl1 1-",1.0,5.1000000000000005,25,P21/c
BAKXOD,C30 H21 N1 O3,1.0,6.7299999999999995,55,P21/n
QEHGOD,C20 H26 O6,1.0,4.279999999999999,52,P21
AMUGAS,C24 H22 N2 O1,1.0,4.63,49,P-1
UHAXUZ,C17 H11 I2 N1 O3,1.0,6.47,34,P-1
EGOJIV,C11 H14 N2 O1,1.0,6.17,28,P21/c
QODFIB,C24 H38 Cl1 P1,1.0,4.3,64,C2/c
ROCDIX,C20 H5 F5,1.0,7.1000000000000005,30,P-1
BASYOL,"C7 H5 Br1 N2 S1,C7 H5 N1 O4",1.0,5.54,17,P21
BUCGAL,C27 H19 B1,1.0,4.36,47,P21/c
WAXXOM,C22 H20 O1,1.0,5.2299999999999995,43,C2/c
FEJWID,"C10 H12 N5 S1 1+,C1 F3 O3 S1 1-,C2 H3 N1",1.0,3.66,28,P-1
IDOREY,C8 H12,0.5,6.08,20,P-1
MPTCZA,C8 H10 N2 S2,1.0,3.0,22,P21/c
WULPUR,"C12 H22 N4,C18 F10 I4,0.5(C6 H6)",1.0,2.23,38,C2/c
ITILOM,"C17 H26 N1 1+,Cl1 1-",2.0,5.39,44,P-1
KOFKUM,C14 H10 N2 O4,1.0,4.65,30,P-1
XECBIS,C23 H14 F3 N3,1.0,4.42,43,P21
DMOXBA02,C9 H10 O4,1.0,4.22,23,P212121
ITODAZ,C28 H16 F8,1.0,6.17,52,P-1
TIKMEJ,C14 H13 B1 N2 O3 S1,1.0,3.32,34,P21/c
LOHMEE,C10 H8 N2 S1,1.0,3.92,21,P21/c
REFSAW,C11 H14 N2 O2 S2,1.0,4.4,31,P21/n
LARXIO,"C10 H26 N2 O2 2+,C8 H4 O4 2-",1.0,4.6,40,P1
AMEXIB,C23 H18 O4,1.0,6.75,45,P-1
FUSYOL,C22 H27 N1 O4,1.0,4.3999999999999995,54,P212121
MOXPET,C30 H30 O4,0.5,5.7,64,P21/c
EVEFUG,C16 H20 N2 O3 Se1,1.0,2.64,42,P-1
XELREO,"C19 H17 F1 N2 O1,0.5(C1 H4 O1),2(H2 O1)",1.0,5.7,40,P21/n
OYUYUD,"B12 F12 2-,2(C4 H7 N2 1+)",0.5,3.85,24,P21/c
VABKAM,C18 H15 Cl1 O3,1.0,3.1,37,P-421c
JACGUT,C15 H22 O3,2.0,6.660000000000001,40,P1
WARHUW,C21 H18 N2 O1,1.0,6.08,42,P-1
PEGSOL01,C14 H12 Br1 N1 O2,1.0,3.63,30,C2/c
ARULUU,C9 H11 O3 P1 Se1,1.0,2.5100000000000002,25,P21/n
SOLBAX,C21 H26 N4 O2 S1,1.0,5.74,54,P21/c
WUFJOW06,C33 H23 N1 O1,1.0,1.03,58,P21/c
MUXREC,"C4 B1 F10 O1 1-,K1 1+",0.5,5.14,16,Pnma
WAGCUG,"C12 H14 Cl1 N4 1+,C6 H4 N1 O2 1-",1.0,4.55,31,P-1
GOXQES,C40 H24,1.0,4.21,64,P21/n
JOTHUX,C26 H20 O6,1.0,5.41,52,Pbca
TOHXOG,"C17 H21 N2 O8 1+,Br1 1-",1.0,1.92,48,C2
IYOSAR01,C24 H17 Br1 O3,1.0,2.56,45,P212121
CACTOU05,C18 H18 N2 O3,1.0,3.7199999999999998,41,P212121
JAWDUK,C5 H5 N3 O3,1.0,5.2,16,P21/c
RUDSAO,C22 H22 N2 O4,2.0,4.29,50,P-1
FUPPOV01,C16 H17 N3 O2,1.0,4.38,38,P-1
ALUYIT,C32 H27 N1 O3 S1,1.0,4.79,64,P-1
TIHJAW,C11 H12 N2 O3 S1,1.0,3.83,29,P21/n
KUVZIN,"C18 H6 Br4 O2,2(C1 H1 Cl3)",0.5,3.3099999999999996,30,P-1
FUWFAF,"C17 H17 N5 O2,0.5(C4 H8 O2)",1.0,6.32,41,P-1
RECDAI,"C14 H13 N3,C14 H3 F3 I2 N2 O4",1.0,3.3300000000000005,30,P-1
MUXLAT,C15 H15 N1 O5,1.0,6.32,36,P21/c
HAKNIR,"C18 H16 N1 1+,C1 F3 O3 S1 1-",1.0,6.98,35,P21/c
YUWLAD,C18 H21 N1 O1,1.0,4.7700000000000005,41,Pbca
BOCNOX,C18 H20 N2 O4,1.0,4.12,44,P21/c
PEHFUF,"C9 H8 O3,C6 H7 N3 O1",1.0,3.64,20,P21/n
RURREF,C21 H19 F2 N1 O2,1.0,3.7199999999999998,45,Ia
OXALCH17,"C2 H2 O4,2(H2 O1)",0.5,2.39,8,P21/c
VAHROP,"C12 H15 N1 O3,C6 H6 N2 O1",1.0,3.11,31,P-1
GIZTAM,C19 H17 Br1 O2,1.0,5.06,39,P-1
IGIMIX,C30 H27 N1 O5 S1,1.0,6.87,64,P21
QAQHEZ,C26 H23 N1 O2,1.0,3.82,52,P212121
MABZAU,"C21 H15 N3 O3,2(C2 H3 N1)",1.0,6.49,42,P212121
VABJEP,C9 H6 Cl3 N1 O1,1.0,3.47,20,P21/c
ZIPHAL,C29 H22 N2 O4 S1,2.0,4.9399999999999995,58,P-1
KISDAV,C16 H22 O4,1.0,3.6799999999999997,42,C2/c
JACMUZ,C21 H24 O7,1.0,5.72,52,P-1
DUDDAL,C8 H11 N3,1.0,3.93,22,P21/n
SASGUQ,C21 H30 O5 S1,1.0,4.03,57,P-1
JODHUG,C12 H16 N6 O1,1.0,4.7,35,P21/c
ITUQUL,C19 H15 N1 O3 S1,1.0,2.67,39,P212121
VINFIH,C15 H24 B9 P1,1.0,5.1000000000000005,49,P21/c
XOHVOH,C17 H4 F10 O1,2.0,4.569999999999999,32,P21/c
BATLOA,C12 H12 N4 O2,2.0,4.44,30,P21/c
TECKOC,C16 H14 N2 O4 S1,1.0,4.1,37,P21/n
NABMAH,"C13 H14 N1 O1 1+,C14 H13 O3 1-,0.5(H2 O1)",1.0,6.08,30,C2
MESEFV06,"C10 H12 Se4 1+,C10 H12 Se4,F6 P1 1-",0.5,5.8,26,P-1
OGEFOW,C15 H11 F1 O3,1.0,5.34,30,P21/c
RESQOZ,C30 H25 N3 O1,1.0,4.53,59,P21/c
HEGQAN,C15 H15 N1,1.0,3.2600000000000002,31,P21/n
FIHHIP,"C7 H14 N3 1+,C2 H1 O4 1-",1.0,2.78,24,P212121
GOMPOQ,C32 H22 F3 N1 O3,1.0,3.6900000000000004,61,Pccn
OGIQIH,C18 H24 O7,1.0,4.16,49,P212121
ELUKUU,C14 H11 N1 O5,1.0,4.93,31,P21/n
NADWOI,C28 H30 Br1 N1 O2,0.5,5.45,62,Pnma
UZEVIF,C18 H23 N1 O2,1.0,4.55,44,C2/c
JIQGAU,"C8 H15 N1 O2,C7 H6 O5",1.0,3.5000000000000004,26,P21/n
RADMIW,C21 H24 O3,1.0,2.81,48,P21
OFEBOQ,C26 H26 F2 N2,1.0,3.83,56,P21cn
VAWZID,C14 H20 O3,1.0,4.0,37,C2/c
NUMZON,"C12 H5 F5 N2,C9 H11 N1 O2",1.0,7.17,24,P-1
TUQFEQ,C16 H26 N2 Si1,1.0,3.66,45,Pca21
SEWBIH01,"C15 H12 O2 S1,0.5(H2 O1)",2.0,5.45,30,P-1
MEGLEQ,C15 H18 Cl2 N1 O6 P1,1.0,4.33,43,P21/c
MORTCQ,"2(C4 H10 N1 O1 1+),2(C12 H4 N4 1-),C12 H4 N4",0.5,6.45,20,P21/c
BAFTOT,"C20 H20 P1 1+,Br3 1-",1.0,4.09,41,P21/n
UKUTAZ,C26 H19 N1 O2,1.0,3.9899999999999998,48,P-1
TIVCUY,"C14 H11 N4 1+,C6 H1 F2 O4 1-,C1 H4 O1",1.0,3.08,29,Cc
MAQFUJ,C20 H24 N2 O5 S1,1.0,4.4799999999999995,52,P21
KEBQEO,C16 H23 N1 O3 S1,1.0,3.92,44,C2/c
HOKPOQ,C30 H20 Cl2,0.5,5.13,52,P-1
FOXNOV03,"C1 H6 N3 1+,H2 O3 P1 1-",1.0,2.7,10,P21
GOSHUU,C16 H13 Br2 N1 O1,1.0,6.41,33,P21/c
HOFQUR,C24 H27 N1 O6 S1,2.0,3.37,59,P21
GIZBUN,C12 H16 N6 O2 S2,1.0,4.98,38,P-1
MUSWUV,C23 H24 N2 O2,1.0,5.55,51,P21/c
VUZZOJ,C18 H33 N3 Si1,2.0,6.239999999999999,55,P-1
EMOCUF,"C15 H6 F10 N5 1+,C7 H5 O2 1-,2(C7 H6 O2)",0.5,3.34,36,P21/m
WUVPEK,C15 H18 O5,1.0,4.65,38,P-1
USIXAX,C12 H26 N2 O4 S1 Si2,2.0,3.44,47,P212121
KADNEJ,C19 H22 O4,1.0,5.1000000000000005,45,P212121
XOWXAJ,C24 H28 O9,1.0,4.92,61,P-1
RUDLOT,"C13 H10 N1 O4 S1 1-,C6 H12 N1 1+",2.0,5.35,29,Pbcn
LOBVII,C13 H18 N2 O2,2.0,5.97,35,P212121
FIVPIM,C27 H18 N2 O2,1.0,4.31,49,Pbca
TUPZEK,C19 H12 F1 N3 O2 S1,1.0,4.3500000000000005,38,Pbcn
UCELAQ,"C32 H24 Br2 O2,C3 H6 O1",1.0,4.5200000000000005,60,P-1
GASVOL02,C10 H10 O4,1.0,4.130000000000001,24,P21/n
SOFJII,C10 H9 F3 O2,1.0,5.89,24,P21/n
ISOXAR,C20 H16 N4 O2,1.0,5.4,42,C2/c
UQERAM,C18 H20 N4 O2,0.5,6.88,44,C2/c
RUYZIW,C12 H27 Cl2 N3 Se4,1.0,4.0,48,P21/n
BARTOE,C20 H32 O3,1.0,6.3,55,P212121
AJIVAR,"C10 H10 N2 2+,C8 Cl4 O4 2-,2(H2 O1)",0.5,3.88,22,P-1
TAQRAF,C16 H18,1.0,4.89,34,P-1
AHEJAZ12,C8 H10 O2,1.0,4.48,20,P212121
MELFER,C22 H16 N2 O2,1.0,4.03,42,P-1
GARYIK,"C31 H24 F2 P1 1+,Br1 1-",1.0,3.18,58,P21/n
WEPVOD,C7 H6 Cl2 N2 O1,1.0,4.55,18,P21/c
ROPKOA,C17 H21 N5 O1,1.0,3.36,44,P21/c
OHUXEY,"C24 H22 N2 O3,C1 H4 O1",1.0,3.6999999999999997,51,P21/c
IHONUQ,C15 H10 Br1 N1 O1,1.0,2.3,28,P-1
CETVOQ,C23 H18 F3 N3 O2,1.0,3.35,49,P21/c
PUMTOK,C20 H19 N1 O3,1.0,4.65,43,P212121
VUXCOK,C11 H9 N1 O1,1.0,3.94,22,P21/n
REPRUZ,"C13 H14 N4 O1,2(H2 O1)",0.5,3.0,32,C2/c
QONWAS,C15 H12 N2 O1 S1,1.0,3.46,31,Pbca
SEBGAI,"C18 H29 N2 O1 1+,F6 P1 1-",1.0,5.7,50,P212121
YIYXOW,C25 H22 N2 S1,1.0,3.93,50,P21/n
ZOTDIY,"C7 H11 N1 O1,C7 H9 N1 O2",2.0,4.93,20,P-1
GULZEU,C9 H14 Cl2 O3,1.0,2.0,28,P21
WISJIU01,C14 H14 O3,1.0,6.13,31,Pca21
YEPSAQ,C21 H22 N2 O2 S1,1.0,3.8899999999999997,48,Pbca
UXAHUZ,C21 H34 B1 N1 Si1,1.0,3.75,58,P-1
NOLXUI,C7 H2 Cl1 F3 N3 S2 Se2,0.5,1.34,20,P-421m
MEBDAZ,C13 H10 Cl1 N1 O3,1.0,4.88,28,P21/n
RAVDAW,C26 H24 F6,0.5,3.17,56,P-1
QEPQUA,"C9 H14 N3 O3 1+,C8 H7 O3 1-",1.0,4.34,29,P21
TAFPAR,C21 H30 O6,1.0,3.3000000000000003,57,P21/a
MAFCUT,"C23 H19 B1 F10 N2,0.5(C6 H14)",1.0,3.0500000000000003,55,P-1
XEBXUA,C20 H18 O4,1.0,6.32,42,P-1
PEVRER,"C11 H11 N4 1+,C6 H5 O3 S1 1-",1.0,4.26,26,P-1
RAGZEH,C21 H24 O6,1.0,3.49,51,P212121
SAJRUQ,"C7 H7 N1 O2,H2 O1",1.0,4.48,17,P21/n
QIMKIG08,C9 H17 N1 O2,1.0,2.81,29,C2/c
QOYROM,C30 H22 O2,1.0,3.72,54,P21/n
GOCCIK,C17 H23 N1 O6 S1,1.0,1.9000000000000001,48,P41212
AFAYAJ,C21 H13 Cl1 F1 N1 O2 S1,2.0,5.3100000000000005,40,Pna21
WOCVUF,C10 H17 N7 O2,1.0,6.8,36,P-1
SAGREZ,C15 H15 N1 O4 S1,1.0,4.48,36,C2/c
NEPZEO,"C17 H25 N2 O1 1+,Cl1 1-",1.0,4.29,45,P212121
PIKDIY,"C10 H20 N1 1+,C18 H1 B1 F15 1-",1.0,3.62,35,P-1
ROYQAB,C15 H24 O2,1.0,2.9000000000000004,41,P21
HADNUZ,"C16 H24 N1 1+,C20 H14 O2,Br1 1-",1.0,3.2199999999999998,41,P212121
LUDPEH,C6 H6 N4 S1,1.0,3.7600000000000002,17,P21/c
ROVQAX,"C23 H29 N1 O6,C7 H6 O2",1.0,4.390000000000001,59,Pc
OQECUM,C14 H8 Br1 F3 O2,1.0,6.52,28,P-1
DAFSAF,C10 H10 F1 N1 O4,1.0,6.45,26,P21
FUSWOF02,C15 H15 N1 O1,1.0,3.54,32,C2
VIZNAT,"2(C17 H19 N2 1+),Br1 1-,Cl1 1-",0.5,5.3,38,P21/a
WOYBUK,C13 H28 O3,1.0,5.2,44,P21
YALBIX,C10 H13 N1 O5,2.0,3.74,29,P-1
OMELIC01,C8 H19 N1 O2 S2,1.0,4.54,32,Pbca
KOXBUW,C14 H13 N5 O2,1.0,4.3999999999999995,34,P21/n
LUDZAP,C7 H10 F5 N1 O3 S2,2.0,5.33,28,P-1
HXMCOU02,C10 H8 O4,1.0,4.44,22,P-1
YODLOT,C13 H14 O3 S1,1.0,4.69,31,P-1
MAVRAD,C6 F3 N1 O1 S2,1.0,3.29,13,P21/n
XESTIY,C14 H26 O2,1.0,4.0200000000000005,42,P-1
SENKON01,C16 H12 N2 O2,2.0,5.38,32,P212121
GEYJAV,"2(C12 H8 S10),C1 S2",0.5,6.79,30,P21/n
QEHMID,C17 H18 O3,1.0,4.6,38,P1
BACDOD,C20 H22 Br2 N2,2.0,3.4799999999999995,46,P-1
OTEPIO,C23 H15 I1 N2 O1,1.0,2.82,42,P21/c
BOPBIR,C17 H17 N1 O3,1.0,5.05,38,P21/c
RETRAJ,C15 H20 N4,0.5,4.71,39,C2/m
UWUYOC02,C21 H32 Cl2 N4 O1,1.0,4.22,60,Pca21
PORGUB,"C11 H12 N5 1+,C7 H5 O4 1-",1.0,4.12,28,P21/n
TACJER,"C8 H10 N2 O4,C8 H10 N2 O4",1.0,3.32,24,Pbca
EBIXOE,C7 H5 Br1 N2 S1,1.0,7.26,16,P-1
YOLQEZ,C12 H12 F1 N1 O1 S1,1.0,2.7,28,P212121
ZEVRUN,C18 H18 N2 O2,1.0,4.0,40,P212121
WUQFIX,"C20 H25 N1 O6,C3 H7 N1 O1",1.0,4.93,52,P212121
ZULDOZ,C4 N4 O2,2.0,3.4,10,Pna21
XAQFIF,C26 H32 Br1 N1 O4,1.0,3.86,64,P212121
ODUYOF,C21 H36 O4,1.0,3.38,61,P212121
IDAGIH,"C11 H14 N1 Te1 1+,C1 H12 B11 1-,0.5(C1 H2 Cl2)",1.0,2.78,27,C2
FUZFEO,C21 H22 Cl1 N1 O3,1.0,5.36,48,P-1
ZENSUG,"C12 H24 N1 1+,Cl1 1-",1.0,3.98,37,P21/c
LULHIJ,C16 H24 O2,1.0,4.83,42,P21/n
NUBJUT,C20 H28 O2,1.0,2.56,50,P212121
MEKNUM,C9 H5 I1 O2,1.0,4.44,17,P21/c
FINMUM,C30 H24 P2 Se1,1.0,2.37,57,P21/c
AGAXOX,C13 H9 N3 O3,2.0,4.68,28,Pca21
IBEMOW,C16 H13 F3 N2 O2,1.0,6.35,36,P-1
TUWDUN,"C19 H17 I1 N3 O3 1+,1.5(H2 O1),Cl1 1-",1.0,1.51,43,C2/c
GLUTAS02,C10 H17 N3 O6 S1,1.0,5.6000000000000005,37,P212121
BIQWAC,C25 H30 O8,1.0,4.279999999999999,63,P-1
XISTOL,C26 H20 O6,1.0,6.76,52,P21/n
KIWCIE,C13 H12 O5,1.0,4.7,30,C2/c
ROVMAU,C16 H27 N1 O1,2.0,6.16,45,P212121
VEFPUR02,"C19 H28 O2,H2 O1",2.0,2.64,49,P212121
ESUHEH,C19 H15 N5 O3,1.0,4.75,42,P-1
QEFLUI,C20 H23 N1 O6,1.0,6.53,50,P21/c
DORJOJ,C16 H19 N5 O7,1.0,4.8,47,P212121
